abbreviation,full-team-name,team_link
ATL,Atlanta Hawks,https://www.nba.com/teams/hawks
BOS,Boston Celtics,https://www.nba.com/teams/celtics
BKN,Brooklyn Nets,https://www.nba.com/teams/nets
CHA,Charlotte Hornets,https://www.nba.com/teams/hornets
CHI,Chicago Bulls,https://www.nba.com/teams/bulls
CLE,Cleveland Cavaliers,https://www.nba.com/teams/cavaliers
DAL,Dallas Mavericks,https://www.nba.com/teams/mavericks
DEN,Denver Nuggets,https://www.nba.com/teams/nuggets
DET,Detroit Pistons,https://www.nba.com/teams/pistons
GSW,Golden State Warriors,https://www.nba.com/teams/warriors
HOU,Houston Rockets,https://www.nba.com/teams/rockets
IND,Indiana Pacers,https://www.nba.com/teams/pacers
LAC,LA Clippers,https://www.nba.com/teams/clippers
LAL,Los Angeles Lakers,https://www.nba.com/teams/lakers
MEM,Memphis Grizzlies,https://www.nba.com/teams/grizzlies
MIA,Miami Heat,https://www.nba.com/teams/heat
MIL,Milwaukee Bucks,https://www.nba.com/teams/bucks
MIN,Minnesota Timberwolves,https://www.nba.com/teams/timberwolves
NOP,New Orleans Pelicans,https://www.nba.com/teams/pelicans
NYK,New York Knicks,https://www.nba.com/teams/knicks
OKC,Oklahoma City Thunder,https://www.nba.com/teams/thunder
ORL,Orlando Magic,https://www.nba.com/teams/magic
PHI,Philadelphia 76ers,https://www.nba.com/teams/sixers
PHX,Phoenix Suns,https://www.nba.com/teams/suns
POR,Portland Trail Blazers,https://www.nba.com/teams/blazers
SAC,Sacramento Kings,https://www.nba.com/teams/kings
SAS,San Antonio Spurs,https://www.nba.com/teams/spurs
TOR,Toronto Raptors,https://www.nba.com/teams/raptors
UTA,Utah Jazz,https://www.nba.com/teams/jazz
WAS,Washington Wizards,https://www.nba.com/teams/wizards
